Dataset 1,Dataset 2,Mixture 1,Mixture 2,Experimental Values,label
Bushdid,Bushdid,61.0,62.0,0.576923,291
DA,Bushdid,441.0,62.0,0.576923,291
Bushdid,Bushdid,63.0,64.0,0.5,292
DA,Bushdid,443.0,64.0,0.5,292
Bushdid,Bushdid,67.0,68.0,0.346154,293
Bushdid,Bushdid,69.0,70.0,0.5,294
DA,Bushdid,445.0,70.0,0.5,294
Bushdid,Bushdid,71.0,72.0,0.307692,295
DA,Bushdid,447.0,72.0,0.307692,295
Bushdid,Bushdid,73.0,74.0,0.692308,296
Bushdid,Bushdid,75.0,76.0,0.423077,297
DA,Bushdid,449.0,76.0,0.423077,297
Bushdid,Bushdid,77.0,78.0,0.538462,298
Bushdid,Bushdid,79.0,80.0,0.346154,299
DA,Bushdid,451.0,80.0,0.346154,299
Bushdid,Bushdid,81.0,82.0,0.692308,300
DA,Bushdid,453.0,82.0,0.692308,300
Bushdid,Bushdid,83.0,84.0,0.384615,301
DA,Bushdid,455.0,84.0,0.384615,301
Bushdid,Bushdid,85.0,86.0,0.461538,302
DA,Bushdid,457.0,86.0,0.461538,302
Bushdid,Bushdid,87.0,88.0,0.730769,303
DA,Bushdid,459.0,88.0,0.730769,303
Bushdid,Bushdid,89.0,90.0,0.307692,304
DA,Bushdid,461.0,90.0,0.307692,304
Bushdid,Bushdid,91.0,92.0,0.346154,305
Bushdid,Bushdid,93.0,94.0,0.538462,306
Bushdid,Bushdid,95.0,96.0,0.769231,307
Bushdid,Bushdid,97.0,98.0,0.807692,308
Bushdid,Bushdid,99.0,100.0,0.423077,309
DA,Bushdid,463.0,100.0,0.423077,309
Bushdid,Bushdid,101.0,102.0,0.769231,310
DA,Bushdid,465.0,102.0,0.769231,310
Bushdid,Bushdid,103.0,104.0,0.884615,311
DA,Bushdid,467.0,104.0,0.884615,311
Bushdid,Bushdid,105.0,106.0,0.153846,312
Bushdid,Bushdid,107.0,108.0,0.423077,313
Bushdid,Bushdid,109.0,110.0,0.807692,314
DA,Bushdid,469.0,110.0,0.807692,314
Bushdid,Bushdid,111.0,112.0,0.269231,315
DA,Bushdid,471.0,112.0,0.269231,315
Bushdid,Bushdid,113.0,114.0,0.846154,316
DA,Bushdid,473.0,114.0,0.846154,316
Bushdid,Bushdid,115.0,116.0,0.384615,317
DA,Bushdid,475.0,116.0,0.384615,317
Bushdid,Bushdid,117.0,118.0,0.461538,318
Bushdid,Bushdid,121.0,122.0,0.307692,319
DA,Bushdid,477.0,122.0,0.307692,319
Bushdid,Bushdid,123.0,124.0,0.269231,320
Bushdid,Bushdid,125.0,126.0,0.192308,321
DA,Bushdid,479.0,126.0,0.192308,321
Bushdid,Bushdid,127.0,128.0,0.538462,322
DA,Bushdid,481.0,128.0,0.538462,322
Bushdid,Bushdid,129.0,130.0,0.538462,323
DA,Bushdid,483.0,130.0,0.538462,323
Bushdid,Bushdid,131.0,132.0,0.846154,324
DA,Bushdid,485.0,132.0,0.846154,324
Bushdid,Bushdid,137.0,138.0,0.576923,325
DA,Bushdid,487.0,138.0,0.576923,325
Bushdid,Bushdid,141.0,142.0,0.423077,326
DA,Bushdid,489.0,142.0,0.423077,326
Bushdid,Bushdid,143.0,144.0,0.692308,327
Bushdid,Bushdid,145.0,146.0,0.807692,328
DA,Bushdid,491.0,146.0,0.807692,328
Bushdid,Bushdid,147.0,148.0,0.730769,329
DA,Bushdid,493.0,148.0,0.730769,329
Bushdid,Bushdid,149.0,150.0,0.846154,330
DA,Bushdid,495.0,150.0,0.846154,330
Bushdid,Bushdid,151.0,152.0,0.423077,331
DA,Bushdid,497.0,152.0,0.423077,331
Bushdid,Bushdid,153.0,154.0,0.5,332
DA,Bushdid,499.0,154.0,0.5,332
Bushdid,Bushdid,155.0,156.0,0.807692,333
Bushdid,Bushdid,157.0,158.0,0.307692,334
DA,Bushdid,501.0,158.0,0.307692,334
Bushdid,Bushdid,159.0,160.0,0.692308,335
DA,Bushdid,503.0,160.0,0.692308,335
Bushdid,Bushdid,161.0,162.0,0.346154,336
DA,Bushdid,505.0,162.0,0.346154,336
Bushdid,Bushdid,163.0,164.0,0.461538,337
DA,Bushdid,507.0,164.0,0.461538,337
Bushdid,Bushdid,165.0,166.0,0.615385,338
DA,Bushdid,509.0,166.0,0.615385,338
Bushdid,Bushdid,169.0,170.0,0.692308,339
DA,Bushdid,511.0,170.0,0.692308,339
Bushdid,Bushdid,173.0,174.0,0.769231,340
Bushdid,Bushdid,175.0,176.0,0.192308,341
DA,Bushdid,513.0,176.0,0.192308,341
Bushdid,Bushdid,177.0,178.0,0.269231,342
DA,Bushdid,515.0,178.0,0.269231,342
Bushdid,Bushdid,179.0,180.0,0.538462,343
DA,Bushdid,517.0,180.0,0.538462,343
Bushdid,Bushdid,181.0,182.0,0.807692,344
DA,Bushdid,519.0,182.0,0.807692,344
Bushdid,Bushdid,183.0,184.0,0.769231,345
DA,Bushdid,521.0,184.0,0.769231,345
Bushdid,Bushdid,185.0,186.0,0.769231,346
DA,Bushdid,523.0,186.0,0.769231,346
Bushdid,Bushdid,187.0,188.0,0.423077,347
DA,Bushdid,525.0,188.0,0.423077,347
Bushdid,Bushdid,189.0,190.0,0.807692,348
DA,Bushdid,527.0,190.0,0.807692,348
Bushdid,Bushdid,191.0,192.0,0.730769,349
DA,Bushdid,529.0,192.0,0.730769,349
Bushdid,Bushdid,193.0,194.0,0.153846,350
DA,Bushdid,531.0,194.0,0.153846,350
Bushdid,Bushdid,195.0,196.0,0.5,351
Bushdid,Bushdid,197.0,198.0,0.461538,352
DA,Bushdid,533.0,198.0,0.461538,352
Bushdid,Bushdid,199.0,200.0,0.153846,353
DA,Bushdid,535.0,200.0,0.153846,353
Bushdid,Bushdid,201.0,202.0,0.461538,354
DA,Bushdid,537.0,202.0,0.461538,354
Bushdid,Bushdid,205.0,206.0,0.307692,355
DA,Bushdid,539.0,206.0,0.307692,355
Bushdid,Bushdid,207.0,208.0,0.576923,356
DA,Bushdid,541.0,208.0,0.576923,356
Bushdid,Bushdid,209.0,210.0,0.615385,357
DA,Bushdid,543.0,210.0,0.615385,357
Bushdid,Bushdid,211.0,212.0,0.653846,358
DA,Bushdid,545.0,212.0,0.653846,358
Bushdid,Bushdid,213.0,214.0,0.653846,359
Bushdid,Bushdid,215.0,216.0,0.538462,360
DA,Bushdid,547.0,216.0,0.538462,360
Bushdid,Bushdid,217.0,218.0,0.5,361
DA,Bushdid,549.0,218.0,0.5,361
Bushdid,Bushdid,219.0,220.0,0.769231,362
DA,Bushdid,551.0,220.0,0.769231,362
Bushdid,Bushdid,221.0,222.0,0.730769,363
Bushdid,Bushdid,223.0,224.0,0.461538,364
DA,Bushdid,553.0,224.0,0.461538,364
Bushdid,Bushdid,225.0,226.0,0.5,365
DA,Bushdid,555.0,226.0,0.5,365
Bushdid,Bushdid,227.0,228.0,0.615385,366
DA,Bushdid,557.0,228.0,0.615385,366
Bushdid,Bushdid,229.0,230.0,0.730769,367
DA,Bushdid,559.0,230.0,0.730769,367
Bushdid,Bushdid,231.0,232.0,0.384615,368
Bushdid,Bushdid,237.0,238.0,0.538462,369
DA,Bushdid,561.0,238.0,0.538462,369
Bushdid,Bushdid,239.0,240.0,0.153846,370
Bushdid,Bushdid,241.0,242.0,0.730769,371
Bushdid,Bushdid,245.0,246.0,0.307692,372
DA,Bushdid,563.0,246.0,0.307692,372
Bushdid,Bushdid,247.0,248.0,0.461538,373
Bushdid,Bushdid,249.0,250.0,0.269231,374
DA,Bushdid,565.0,250.0,0.269231,374
Bushdid,Bushdid,251.0,252.0,0.730769,375
DA,Bushdid,567.0,252.0,0.730769,375
Bushdid,Bushdid,253.0,254.0,0.653846,376
DA,Bushdid,569.0,254.0,0.653846,376
Bushdid,Bushdid,255.0,256.0,0.730769,377
DA,Bushdid,571.0,256.0,0.730769,377
Bushdid,Bushdid,257.0,258.0,0.576923,378
DA,Bushdid,573.0,258.0,0.576923,378
Bushdid,Bushdid,259.0,260.0,0.269231,379
Bushdid,Bushdid,261.0,262.0,0.461538,380
DA,Bushdid,575.0,262.0,0.461538,380
Bushdid,Bushdid,263.0,264.0,0.423077,381
DA,Bushdid,577.0,264.0,0.423077,381
Bushdid,Bushdid,265.0,266.0,0.192308,382
DA,Bushdid,579.0,266.0,0.192308,382
Bushdid,Bushdid,267.0,268.0,0.538462,383
DA,Bushdid,581.0,268.0,0.538462,383
Bushdid,Bushdid,269.0,270.0,0.384615,384
DA,Bushdid,583.0,270.0,0.384615,384
Bushdid,Bushdid,271.0,272.0,0.653846,385
Bushdid,Bushdid,273.0,274.0,0.923077,386
DA,Bushdid,585.0,274.0,0.923077,386
Bushdid,Bushdid,275.0,276.0,0.423077,387
DA,Bushdid,587.0,276.0,0.423077,387
Bushdid,Bushdid,277.0,278.0,0.615385,388
DA,Bushdid,589.0,278.0,0.615385,388
Bushdid,Bushdid,279.0,280.0,0.346154,389
DA,Bushdid,591.0,280.0,0.346154,389
Bushdid,Bushdid,281.0,282.0,0.846154,390
Bushdid,Bushdid,283.0,284.0,0.615385,391
DA,Bushdid,593.0,284.0,0.615385,391
Bushdid,Bushdid,285.0,286.0,0.384615,392
Bushdid,Bushdid,287.0,288.0,0.423077,393
DA,Bushdid,595.0,288.0,0.423077,393
Bushdid,Bushdid,289.0,290.0,0.730769,394
DA,Bushdid,597.0,290.0,0.730769,394
Bushdid,Bushdid,291.0,292.0,0.5,395
DA,Bushdid,599.0,292.0,0.5,395
Bushdid,Bushdid,293.0,294.0,0.538462,396
Bushdid,Bushdid,295.0,296.0,0.384615,397
DA,Bushdid,601.0,296.0,0.384615,397
Bushdid,Bushdid,297.0,298.0,0.846154,398
DA,Bushdid,603.0,298.0,0.846154,398
Bushdid,Bushdid,299.0,300.0,0.653846,399
Bushdid,Bushdid,301.0,302.0,0.269231,400
DA,Bushdid,605.0,302.0,0.269231,400
Bushdid,Bushdid,303.0,304.0,0.269231,401
DA,Bushdid,607.0,304.0,0.269231,401
Bushdid,Bushdid,305.0,306.0,0.769231,402
DA,Bushdid,609.0,306.0,0.769231,402
Bushdid,Bushdid,307.0,308.0,0.576923,403
Bushdid,Bushdid,309.0,310.0,0.538462,404
Bushdid,Bushdid,311.0,312.0,0.615385,405
DA,Bushdid,611.0,312.0,0.615385,405
Bushdid,Bushdid,313.0,314.0,0.423077,406
Bushdid,Bushdid,315.0,316.0,0.730769,407
Bushdid,Bushdid,317.0,318.0,0.769231,408
DA,Bushdid,613.0,318.0,0.769231,408
Bushdid,Bushdid,319.0,320.0,0.384615,409
DA,Bushdid,615.0,320.0,0.384615,409
Bushdid,Bushdid,321.0,322.0,0.769231,410
DA,Bushdid,617.0,322.0,0.769231,410
Bushdid,Bushdid,323.0,324.0,0.692308,411
Bushdid,Bushdid,325.0,326.0,0.423077,412
Bushdid,Bushdid,327.0,328.0,0.538462,413
DA,Bushdid,619.0,328.0,0.538462,413
Bushdid,Bushdid,329.0,330.0,0.461538,414
DA,Bushdid,621.0,330.0,0.461538,414
Bushdid,Bushdid,331.0,332.0,0.653846,415
DA,Bushdid,623.0,332.0,0.653846,415
Bushdid,Bushdid,333.0,334.0,0.692308,416
DA,Bushdid,625.0,334.0,0.692308,416
Bushdid,Bushdid,335.0,336.0,0.5,417
DA,Bushdid,627.0,336.0,0.5,417
Bushdid,Bushdid,337.0,338.0,0.423077,418
DA,Bushdid,629.0,338.0,0.423077,418
Bushdid,Bushdid,339.0,340.0,0.730769,419
Bushdid,Bushdid,341.0,342.0,0.461538,420
Bushdid,Bushdid,343.0,344.0,0.538462,421
DA,Bushdid,631.0,344.0,0.538462,421
Bushdid,Bushdid,345.0,346.0,0.730769,422
DA,Bushdid,633.0,346.0,0.730769,422
Bushdid,Bushdid,347.0,348.0,0.269231,423
DA,Bushdid,635.0,348.0,0.269231,423
Bushdid,Bushdid,349.0,350.0,0.653846,424
Bushdid,Bushdid,351.0,352.0,0.384615,425
DA,Bushdid,637.0,352.0,0.384615,425
Bushdid,Bushdid,353.0,354.0,0.230769,426
DA,Bushdid,639.0,354.0,0.230769,426
Bushdid,Bushdid,355.0,356.0,0.461538,427
DA,Bushdid,641.0,356.0,0.461538,427
Bushdid,Bushdid,357.0,358.0,0.5,428
DA,Bushdid,643.0,358.0,0.5,428
Bushdid,Bushdid,359.0,360.0,0.423077,429
DA,Bushdid,645.0,360.0,0.423077,429
Bushdid,Bushdid,361.0,362.0,0.423077,430
DA,Bushdid,647.0,362.0,0.423077,430
Bushdid,Bushdid,363.0,364.0,0.538462,431
DA,Bushdid,649.0,364.0,0.538462,431
Bushdid,Bushdid,365.0,366.0,0.346154,432
DA,Bushdid,651.0,366.0,0.346154,432
Bushdid,Bushdid,367.0,368.0,0.5,433
DA,Bushdid,653.0,368.0,0.5,433
Bushdid,Bushdid,369.0,370.0,0.538462,434
Bushdid,Bushdid,371.0,372.0,0.461538,435
DA,Bushdid,655.0,372.0,0.461538,435
Bushdid,Bushdid,373.0,374.0,0.5,436
Bushdid,Bushdid,375.0,376.0,0.730769,437
DA,Bushdid,657.0,376.0,0.730769,437
Bushdid,Bushdid,377.0,378.0,0.692308,438
DA,Bushdid,659.0,378.0,0.692308,438
Bushdid,Bushdid,379.0,380.0,0.5,439
Bushdid,Bushdid,381.0,382.0,0.307692,440
DA,Bushdid,661.0,382.0,0.307692,440
Bushdid,Bushdid,383.0,384.0,0.423077,441
DA,Bushdid,663.0,384.0,0.423077,441
Bushdid,Bushdid,387.0,388.0,0.846154,442
DA,Bushdid,665.0,388.0,0.846154,442
Bushdid,Bushdid,389.0,390.0,0.692308,443
DA,Bushdid,667.0,390.0,0.692308,443
Bushdid,Bushdid,391.0,392.0,0.346154,444
DA,Bushdid,669.0,392.0,0.346154,444
Bushdid,Bushdid,393.0,394.0,0.5,445
Bushdid,Bushdid,395.0,396.0,0.615385,446
DA,Bushdid,671.0,396.0,0.615385,446
Bushdid,Bushdid,397.0,398.0,0.538462,447
DA,Bushdid,673.0,398.0,0.538462,447
Bushdid,Bushdid,399.0,400.0,0.692308,448
Bushdid,Bushdid,401.0,402.0,0.730769,449
DA,Bushdid,675.0,402.0,0.730769,449
Bushdid,Bushdid,403.0,404.0,0.769231,450
DA,Bushdid,677.0,404.0,0.769231,450
Bushdid,Bushdid,405.0,406.0,0.538462,451
DA,Bushdid,679.0,406.0,0.538462,451
Bushdid,Bushdid,407.0,408.0,0.653846,452
DA,Bushdid,681.0,408.0,0.653846,452
Bushdid,Bushdid,409.0,410.0,0.692308,453
DA,Bushdid,683.0,410.0,0.692308,453
Bushdid,Bushdid,411.0,412.0,0.576923,454
DA,Bushdid,685.0,412.0,0.576923,454
Bushdid,Bushdid,413.0,414.0,0.461538,455
DA,Bushdid,687.0,414.0,0.461538,455
Bushdid,Bushdid,415.0,416.0,0.576923,456
DA,Bushdid,689.0,416.0,0.576923,456
Bushdid,Bushdid,417.0,418.0,0.538462,457
DA,Bushdid,691.0,418.0,0.538462,457
Bushdid,Bushdid,419.0,420.0,0.769231,458
DA,Bushdid,693.0,420.0,0.769231,458
Bushdid,Bushdid,421.0,422.0,0.653846,459
DA,Bushdid,695.0,422.0,0.653846,459
Bushdid,Bushdid,423.0,424.0,0.461538,460
DA,Bushdid,697.0,424.0,0.461538,460
Bushdid,Bushdid,425.0,426.0,0.807692,461
DA,Bushdid,699.0,426.0,0.807692,461
Bushdid,Bushdid,427.0,428.0,0.269231,462
Bushdid,Bushdid,433.0,434.0,0.576923,463
DA,Bushdid,701.0,434.0,0.576923,463
Bushdid,Bushdid,435.0,436.0,0.384615,464
DA,Bushdid,703.0,436.0,0.384615,464
Bushdid,Bushdid,437.0,438.0,0.653846,465
DA,Bushdid,705.0,438.0,0.653846,465
Bushdid,Bushdid,439.0,440.0,0.5,466
Bushdid,Bushdid,441.0,442.0,0.307692,467
Bushdid,Bushdid,443.0,444.0,0.769231,468
DA,Bushdid,707.0,444.0,0.769231,468
Bushdid,Bushdid,445.0,446.0,0.615385,469
DA,Bushdid,709.0,446.0,0.615385,469
Bushdid,Bushdid,447.0,448.0,0.576923,470
DA,Bushdid,711.0,448.0,0.576923,470
Bushdid,Bushdid,449.0,450.0,0.576923,471
DA,Bushdid,713.0,450.0,0.576923,471
Bushdid,Bushdid,451.0,452.0,0.576923,472
DA,Bushdid,715.0,452.0,0.576923,472
Bushdid,Bushdid,453.0,454.0,0.576923,473
DA,Bushdid,717.0,454.0,0.576923,473
Bushdid,Bushdid,459.0,460.0,0.538462,474
DA,Bushdid,719.0,460.0,0.538462,474
Bushdid,Bushdid,461.0,462.0,0.423077,475
Bushdid,Bushdid,463.0,464.0,0.769231,476
DA,Bushdid,721.0,464.0,0.769231,476
Bushdid,Bushdid,465.0,466.0,0.615385,477
DA,Bushdid,723.0,466.0,0.615385,477
Bushdid,Bushdid,467.0,468.0,0.846154,478
DA,Bushdid,725.0,468.0,0.846154,478
Bushdid,Bushdid,469.0,470.0,0.576923,479
Bushdid,Bushdid,471.0,472.0,0.423077,480
DA,Bushdid,727.0,472.0,0.423077,480
Bushdid,Bushdid,473.0,474.0,0.692308,481
DA,Bushdid,729.0,474.0,0.692308,481
Bushdid,Bushdid,475.0,476.0,0.730769,482
DA,Bushdid,731.0,476.0,0.730769,482
Bushdid,Bushdid,477.0,478.0,0.384615,483
DA,Bushdid,733.0,478.0,0.384615,483
Bushdid,Bushdid,479.0,480.0,0.461538,484
DA,Bushdid,735.0,480.0,0.461538,484
Bushdid,Bushdid,481.0,482.0,0.384615,485
DA,Bushdid,737.0,482.0,0.384615,485
Bushdid,Bushdid,485.0,486.0,0.384615,486
DA,Bushdid,739.0,486.0,0.384615,486
Bushdid,Bushdid,489.0,490.0,0.384615,487
DA,Bushdid,741.0,490.0,0.384615,487
Bushdid,Bushdid,491.0,492.0,0.576923,488
DA,Bushdid,743.0,492.0,0.576923,488
Bushdid,Bushdid,493.0,494.0,0.423077,489
Bushdid,Bushdid,495.0,496.0,0.076923,490
DA,Bushdid,745.0,496.0,0.076923,490
Bushdid,Bushdid,497.0,498.0,0.653846,491
DA,Bushdid,747.0,498.0,0.653846,491
Bushdid,Bushdid,499.0,500.0,0.653846,492
DA,Bushdid,749.0,500.0,0.653846,492
Bushdid,Bushdid,501.0,502.0,0.461538,493
Bushdid,Bushdid,505.0,506.0,0.730769,494
Bushdid,Bushdid,507.0,508.0,0.846154,495
DA,Bushdid,751.0,508.0,0.846154,495
Bushdid,Bushdid,509.0,510.0,0.461538,496
DA,Bushdid,753.0,510.0,0.461538,496
Bushdid,Bushdid,513.0,514.0,0.692308,497
DA,Bushdid,755.0,514.0,0.692308,497
Bushdid,Bushdid,515.0,516.0,0.730769,498
DA,Bushdid,757.0,516.0,0.730769,498
Bushdid,Bushdid,517.0,518.0,0.538462,499
Bushdid,Bushdid,519.0,520.0,0.807692,500
DA,Bushdid,759.0,520.0,0.807692,500
